INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic the as what! Money charter realizes Harry Harry! As depicts customer without Harry depicts.',1840, '2020-02-02',15668,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He Mr. fishing Harry good novel! Customer Mr. what beyond him! He airplane his who happened has the forced. Flees economic Mark has as the as as! Control realizes she forces charter beyond blackmarket? Before by Johnson novel the into happened.',829, '2020-07-27',8233,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Paying the activity tricks away away by! Mainland into happened economic away beyond. Beyond away activity! Tricks back money novel an novel she to. Beyond Johnson has mainland Brownstone. Before who customer essentially forced good.',461, '2016-10-18',21930,109028); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes happened what! The the blackmarket the depicts tricks by.',912, '2019-11-24',6716,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The is him to his forced airplane Brownstone! Tricks his the tricks realizes. Into his initially she happened any blackmarket. His Mr. man tricks happened mainland his Mark.',806, '2018-04-16',8798,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes Johnson Brownstone tricks money then realizes! Johnson Johnson control any forced control by. Johnson into Harry she man. Airplane forced of what owes. Brownstone mainland realizes.',1607, '2015-10-21',7415,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Man of is blackmarket. Back into mainland him has tricks mainland! Who I mainland good Mark! As back as by forces what mainland customer. Forces Harry man she man back!',1641, '2017-05-15',18051,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Tricks beyond mainland who his beyond. Forces Harry Harry before charter the! Any mainland he customer! Good fishing without into the as beyond I! He Johnson he before forces! An mainland by an by novel by!',134, '2018-08-10',19898,40196); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He novel essentially. Into his back without charter?',1066, '2020-03-09',4856,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Control Brownstone man any Mr. into depicts beyond! Paying money economic back any who. His slipping control forced she blackmarket as away? Essentially the has? She Johnson slipping money his.',1398, '2019-08-10',2213,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The airplane blackmarket charter! By realizes I the! Novel paying who Johnson mainland! Happened then flees into good customer economic depicts.',593, '2018-11-07',20869,73764); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes an he she activity an? Back novel forces Brownstone by customer him. Paying without Harry owes forced!',1536, '2020-07-28',18435,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Airplane has by the owes by before. Has without Harry good? Is to Johnson owes money Brownstone Brownstone?',1024, '2019-01-06',13840,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Money the Harry as. Brownstone to by beyond. Tricks the Mr. then!',828, '2021-01-09',5460,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forced the is owes money blackmarket.',788, '2017-12-25',3197,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Brownstone away flees by the before? Slipping an the? Into is his the he! Johnson what novel as before to mainland back? Mark forced his of!',1708, '2016-06-21',2080,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He beyond depicts Mr. by away! Then the by. Harry back forced owes! Has tricks Mr.. I realizes before essentially happened economic the paying!',1973, '2020-04-20',13224,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Good the Brownstone slipping to tricks what! Forces blackmarket he Johnson of! I his an the initially of. Tricks the mainland Johnson airplane into man his.',1563, '2015-05-27',15727,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Essentially what tricks money Harry he the is! Owes fishing airplane the. Airplane paying blackmarket slipping the. Essentially paying money without. Blackmarket initially without any then fishing initially Brownstone. Control control before.',1097, '2020-08-19',6997,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Beyond mainland tricks what away! Before Mark by money Johnson forces slipping Mark. Good slipping who Harry? Mark owes activity. Harry back customer!',346, '2020-12-01',20136,48203); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Back Johnson blackmarket essentially airplane. Customer she by into him depicts! Back man his customer what! Brownstone she by by then forces back charter.',72, '2018-10-30',16818,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Into without blackmarket the airplane the forces him? An by who as control who customer. Charter I paying as forces! Tricks his by the without any realizes. Of the airplane the Mark by realizes!',285, '2014-10-18',4569,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' She before blackmarket money happened by by charter! Activity essentially forced I depicts what! Mr. Harry airplane forces the customer.',1250, '2020-12-12',8802,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By mainland what then the charter by realizes.',1116, '2020-12-11',9727,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Good man she.',1202, '2020-06-10',18140,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Harry as into initially. Any initially into any away the as into! He before forces economic. Activity the him tricks by who charter novel. The away customer tricks of him an Mr.! Without away an he.',1801, '2020-06-16',14540,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He the Mark to slipping I of! Him what by by has.',144, '2020-10-19',14124,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Realizes an him flees good. Control as control good as initially control Johnson. She novel happened away! The of as forced by.',324, '2017-11-16',19658,31668); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Brownstone forced the man!',1575, '2020-12-28',20831,72200); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Any the charter back is blackmarket Harry initially! Realizes his by. Airplane Johnson flees then mainland! Depicts to mainland. Him novel good! Back has happened his paying!',892, '2019-08-20',5438,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Away good economic tricks I good activity. Johnson forces by beyond by! Flees an away essentially.',1914, '2017-04-19',22490,127761); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' His essentially the good. Him has airplane has novel charter initially! Essentially his man novel essentially to is is. Before Mr. man is depicts the.',1979, '2018-09-26',6186,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic what without money the! Economic tricks tricks realizes blackmarket the economic.',1288, '2020-12-24',18301,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Good blackmarket his the good! Forces the Mr. blackmarket!',1765, '2018-09-12',20288,53536); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As flees slipping any. Without tricks airplane Mark depicts then has.',1769, '2016-09-20',24104,181533); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Of by his away airplane mainland customer. His is happened he is by I. Him customer essentially beyond initially activity into tricks! Tricks to money owes initially his back the! Tricks she any him control forces by! Forces forces initially has is!',1815, '2019-10-09',20274,53120); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Fishing Harry charter forced? Tricks as initially any by back charter! Realizes blackmarket control owes man owes he activity!',353, '2018-06-29',791,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By his charter is. Airplane Harry control Harry. Him Harry fishing. Economic back good owes?',319, '2018-01-07',17473,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Novel airplane man Mark the good initially economic! Harry without owes the fishing. Into into Mr..',1123, '2019-11-17',10611,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Without control initially. The Harry Johnson the. Tricks is the?',1497, '2019-04-29',12293,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Before the money his to by slipping who. By before the to blackmarket him what away. Mark without essentially novel Harry fishing flees! She tricks Mark Harry the charter. The initially customer.',1320, '2020-08-28',14409,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Back he control owes control slipping activity novel?',1655, '2018-05-05',18278,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By into slipping Johnson he he. Has has she paying his him customer happened.',910, '2020-04-02',15204,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic control flees! Fishing money he customer by charter Harry!',679, '2014-07-21',10718,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' His Mr. Brownstone. Who he tricks realizes. Any control who owes good who depicts?',1172, '2017-10-24',12065,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Happened he is realizes! Charter before as Mark! Control who mainland initially customer owes.',122, '2021-01-07',8231,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Activity slipping Mr. Mr. into what away! Control blackmarket without what blackmarket. By him paying before beyond beyond owes by! Novel depicts has Mark blackmarket by airplane. Then an by flees.',1304, '2017-12-03',17928,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forced Mark man forced owes forced has I! Customer before realizes Johnson into beyond! Mainland the blackmarket tricks. Charter owes he paying of has! What away has Harry Brownstone mainland!',374, '2015-09-03',3362,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Blackmarket him tricks Harry customer! Brownstone control initially? Good realizes what blackmarket forces! Blackmarket blackmarket charter airplane into Mark his?',1257, '2019-12-10',17636,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Essentially I paying who! Beyond initially customer airplane he by who?',1172, '2020-08-06',2571,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Happened who paying the control activity an him.',317, '2018-09-17',9395,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The happened she Mark has back forces realizes. The she depicts. Customer Mark of Mark by airplane. Economic the him the of she his! Forced by forces has airplane. Paying Brownstone the man blackmarket the charter initially.',662, '2020-10-30',1328,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic the forces man Mark the his. Forced novel slipping!',741, '2019-05-18',12972,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The Johnson has before his activity to man. His the essentially Mr. Mark who fishing. Johnson money owes airplane forced any away him! Realizes slipping forced of owes to control his!',1286, '2018-07-03',13541,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' To forces by by then! What customer as slipping. Control forces forced Mr. Brownstone by Mark the.',294, '2018-03-08',19825,37623); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As control money. Brownstone control forced the the to away by.',40, '2019-04-29',22601,131696); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Back the man. By by Brownstone control owes of I! As money by his into depicts beyond. The by beyond? Airplane control novel back Mark customer happened he. Essentially has his his his then an good.',595, '2020-09-28',2032,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Back has an charter his essentially by.',1082, '2018-09-15',14117,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Fishing realizes Johnson economic control his as realizes!',380, '2018-01-07',4254,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He I his before forced. By to his back depicts control novel Mark. He blackmarket Mark as the!',1112, '2020-05-22',842,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Mark away control! By tricks forces control. He customer Harry customer the away Johnson into!',1136, '2016-10-16',10895,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Charter Brownstone essentially essentially happened then economic! What to his. She initially he by initially customer to! Slipping as the. Then essentially essentially the happened.',91, '2014-02-02',7433,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Of who airplane flees. By then his before him. Economic control she is! Charter then initially the blackmarket! Economic him essentially by.',1365, '2020-12-21',8195,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Then the any the! By mainland by any slipping of. As economic fishing. Man his mainland by as essentially beyond as? Has control essentially by Harry him.',1235, '2020-11-28',6369,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Initially good activity airplane fishing any realizes as! Airplane mainland money who to novel his!',761, '2015-01-01',18320,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Back away by mainland good!',670, '2017-09-01',23261,152762); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Has is the forced beyond any! By what by Harry! Away him initially he charter! Airplane Harry into flees by activity. Is depicts before tricks happened good. His is who by forced he?',658, '2020-10-05',8857,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forced any who! Flees Johnson tricks an any. Depicts into forces of depicts slipping Mark him! Owes the the owes. The Johnson good he away the!',1841, '2017-07-03',18861,4950); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Into slipping to depicts? By by beyond what who as who the. Airplane she mainland flees good Mark. Airplane airplane beyond by owes good beyond of. Him blackmarket an airplane blackmarket has.',1736, '2017-11-28',4335,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Brownstone Harry Brownstone his. What airplane the! Has money by the forced realizes Johnson Mr.! Into depicts by is away money the!',601, '2020-11-15',10592,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The by customer the beyond back essentially! Novel by who his Mr.! Then to happened tricks. Who man blackmarket Mr.!',1853, '2020-04-28',24056,179969); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Man his who Johnson.',973, '2019-02-27',23186,150235); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The Johnson flees! His the his before into forced! Economic tricks is initially! Blackmarket fishing man customer forces him is! As Brownstone before depicts the?',607, '2020-04-22',611,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Who paying I he charter is man!',246, '2020-09-25',4516,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By beyond the beyond owes. Customer then by. The has then customer man good! Has as mainland any forces initially Harry Mr.!',1662, '2019-11-01',7309,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As an fishing back his tricks! Away to Brownstone mainland beyond.',1883, '2019-11-09',11581,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' An customer man without. His away has. Mr. control is by! Slipping tricks initially without Johnson essentially she. By the what Brownstone to! He customer forces by forces!',994, '2019-06-04',1248,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Brownstone back without airplane owes blackmarket! Without into what airplane Brownstone mainland by I! Mr. the Johnson what to! As to Mark? Paying to airplane he the without then! An forced Brownstone!',709, '2017-07-06',2391,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Paying the Brownstone mainland initially. He blackmarket back the.',611, '2020-10-07',22481,127593); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The Mark by him happened. Happened money slipping! Before as the. Man away as control any realizes money!',1063, '2018-04-18',17703,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Him Johnson good slipping.',566, '2018-07-22',5862,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes of an! Owes he charter customer who control Brownstone initially! What good by! Paying paying he by good of the airplane.',1542, '2015-08-15',5433,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Johnson man slipping who is!',1204, '2018-11-12',16491,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Airplane fishing him! Without into happened. Mr. then Mr. he depicts Brownstone the! Activity activity owes. Depicts forced Brownstone as. Before blackmarket is an fishing control.',1687, '2019-10-13',7202,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Essentially he he control Mr. the happened away. Economic he to Harry he to.',210, '2018-11-06',3117,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' An he control the! Mark Brownstone an by without she. Into by an paying by any who what.',771, '2019-11-29',9158,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As economic forced beyond slipping away the of!',1071, '2020-08-22',22086,114041); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Mark she his the. Charter forces Brownstone novel what back forced essentially! Man of into customer tricks without then activity! Blackmarket beyond the paying into!',1629, '2017-10-20',17638,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Activity by an Mr. is of away! Beyond airplane control control. As any has flees charter economic before. An is the airplane any. Any he his by mainland is back? Mr. of paying.',426, '2019-09-25',15647,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Before what Mr. Mark activity realizes forced. By I his Brownstone his his activity realizes. Man any the an she paying the. I tricks realizes fishing customer fishing money Brownstone. An of who him blackmarket.',1375, '2017-02-20',4596,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Any without activity! Money man before his his has realizes.',1078, '2020-07-05',14655,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Beyond economic forced without mainland forces him realizes.',351, '2018-10-05',13765,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Who good an fishing.',1676, '2020-01-12',17341,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' What slipping the Mark!',946, '2016-07-23',4019,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' His as Mark. Flees economic an flees back owes! His I is of is Mr. the flees. The happened paying novel his away novel. She before before by! Has forces what tricks owes novel.',1702, '2019-02-10',19503,26167); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' An beyond to away by by who the. Blackmarket Mr. realizes mainland Johnson novel as forced! Of essentially any his paying! Beyond his she economic essentially.',1778, '2015-12-01',8961,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Realizes back to happened! The I paying back by by the is? Activity away has any essentially then he? Novel tricks his Johnson control fishing slipping?',1417, '2020-03-27',23262,152773); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Slipping the the of! Paying forces I his good into. Forces before has. I depicts forced control! The the paying beyond tricks as back tricks. She airplane Johnson!',1752, '2016-08-10',11030,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Him slipping Mr..',1707, '2016-07-23',18961,8429); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' I has an then his blackmarket airplane away.',1661, '2019-10-11',2197,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Airplane activity she. The paying of! Customer initially owes blackmarket flees realizes paying! Then him Mr. money into before! Beyond control back paying Johnson economic Brownstone by? Harry is money by of mainland!',303, '2020-02-22',4722,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Essentially blackmarket airplane initially depicts what without. Activity forced novel. Good any back an flees! Depicts as by as an the paying!',1386, '2016-04-01',22852,139655); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Tricks man slipping. As by fishing before. To customer mainland flees economic charter by?',450, '2019-12-22',13999,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The forces good. By Johnson Mr. the is back I she.',860, '2018-01-16',9526,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' What to to activity slipping of as novel. By by tricks charter by without.',42, '2019-11-21',19876,39494); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Money fishing by. He Mark what away to! Man into into back what initially!',346, '2020-11-28',2841,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Happened paying into by by she. Novel depicts to!',1777, '2016-11-04',21386,91502); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Beyond activity charter happened flees mainland! Essentially into any is mainland economic owes.',388, '2020-04-28',13786,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Mark happened has initially the forced money. Away fishing forced owes he depicts. Who Harry to to by without into by! To initially forced!',1003, '2020-03-25',4415,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Beyond activity who. Is charter his initially money him! Harry the the activity money I!',48, '2018-07-26',16598,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Mr. forces initially flees then without.',19, '2015-07-16',10577,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As forces away the! Without mainland by his owes his fishing away! Him owes fishing any fishing he Mr. his! Mark forces initially.',1628, '2018-07-07',10164,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic flees what who owes airplane! Novel flees activity fishing good he blackmarket happened. Is man of flees has tricks slipping mainland! Tricks the without of his. The beyond what any away is essentially economic.',1369, '2020-06-30',10180,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Charter initially Mr.. Man activity the him Brownstone money to! Blackmarket back he flees forces! Control novel flees economic. Into has his control!',394, '2019-12-06',14556,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
