INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (1,'by1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (15,'money6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (16,'what4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (16,'forced1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (17,'the8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (18,'has7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (19,'his9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (19,'him1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (20,'Brownstone8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (20,'he1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (20,'his2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (21,'paying1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (21,'by7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (21,'money4', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (22,'by4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (22,'economic8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'beyond1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'money8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'him5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'novel7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'by9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (23,'control2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (24,'who2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (24,'customer6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (25,'away8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (25,'as7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (25,'Mark9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (26,'into7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (26,'she3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (26,'happened8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (27,'Brownstone5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (28,'she6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (28,'by9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (28,'good1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (29,'back8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (29,'paying3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (30,'Harry8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (30,'charter2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (31,'customer3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (32,'owes7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (33,'Harry9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (34,'I4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (34,'fishing8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (34,'depicts5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (35,'slipping7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (35,'good6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (35,'economic2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (36,'money6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (37,'without6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (37,'an1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (38,'before7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (38,'good9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (39,'good9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (40,'by4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (40,'into7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (40,'activity3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (40,'of9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (41,'economic5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (42,'the6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (42,'has9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (43,'customer8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (44,'paying9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (45,'by3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (45,'good7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (45,'paying6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (45,'realizes1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (46,'the5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (46,'the6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (46,'good8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (46,'the1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (47,'Mr.3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (47,'of9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (48,'realizes9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (49,'depicts8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (50,'customer9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (51,'by6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (51,'into7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (52,'essentially4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (53,'his8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (54,'an4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (54,'is8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (55,'him3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (56,'I2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (56,'beyond4', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (56,'man6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (56,'the3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (57,'by2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (57,'as6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (57,'before9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (58,'money9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (59,'he5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (60,'the5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (61,'Mr.6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (62,'what9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (63,'Brownstone1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (63,'control2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (63,'has7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (64,'charter9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (65,'Harry6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (66,'his8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (67,'by2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (68,'airplane1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (69,'depicts7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (70,'by1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (70,'economic3', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (71,'I3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (71,'without9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (71,'him7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (72,'essentially6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (72,'Mr.9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (72,'an4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (72,'mainland1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (72,'his8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (73,'the8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (74,'the6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (75,'him2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (75,'into6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (75,'any1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (76,'happened1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (77,'by9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (78,'what5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (78,'to1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (78,'Brownstone6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (79,'I9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (80,'Mark9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (80,'Brownstone8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (80,'of2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (81,'of9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (81,'as4', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (82,'then7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (82,'forced5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (82,'control8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (82,'realizes2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (83,'Mr.3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (83,'happened8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (84,'initially3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (84,'before7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (84,'happened6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (84,'what9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'the8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'forces3', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'an1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'an2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'charter5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (85,'Mr.9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (86,'Mark5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (86,'Mark8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (86,'control2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (86,'realizes9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (87,'to8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (88,'customer4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (89,'into8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (89,'Mr.2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (89,'an3', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (89,'to7', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (90,'happened4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (90,'economic9', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (90,'what7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (91,'of8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (92,'he1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (92,'by6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (93,'any1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (93,'then3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (93,'charter5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (94,'the5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (94,'the8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (94,'is1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (95,'Mr.3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (96,'beyond1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (97,'by3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (98,'forced3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (98,'owes4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (99,'depicts1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (100,'flees5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'beyond3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'novel2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'money1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'the9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'fishing4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (101,'his5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (102,'his6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (103,'slipping6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (104,'paying2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (104,'he6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (105,'before3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (106,'to5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (107,'I4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'depicts7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'who1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'beyond3', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'any8', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'he2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (108,'blackmarket9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (109,'without3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (110,'of8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (110,'she5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (111,'charter8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (112,'is9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (113,'by5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (114,'to6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (115,'man2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (115,'activity5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (115,'an6', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (115,'realizes3', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (116,'an3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (117,'tricks8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (117,'depicts5', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (118,'Harry9', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (118,'who2', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (119,'the6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (120,'Brownstone4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (121,'mainland2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (122,'happened7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (122,'the4', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (123,'blackmarket6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (124,'happened1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (125,'slipping8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (126,'depicts7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (127,'by4', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (127,'fishing3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (128,'I6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (129,'as7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (130,'of6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (131,'he3', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (131,'an1', TRUE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (131,'his5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (132,'economic1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (132,'depicts6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (132,'to8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (132,'flees5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (133,'Mark6', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (134,'he8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (135,'he8', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (136,'beyond7', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (136,'him1', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (136,'realizes5', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (137,'Mr.2', FALSE); 
INSERT INTO uzytkownicy(id_konta, nazwa, czy_dziecko) VALUES (137,'the3', TRUE); 
