INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-08-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-08-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-01-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-08-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2017-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-01-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-08-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2018-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-01-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-08-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2019-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-01-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-05-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-07-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-08-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-10-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2020-12-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2017-08-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2017-09-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2017-10-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2017-11-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2017-12-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-01-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-02-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-03-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-04-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-05-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-06-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-07-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-08-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-09-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-10-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-11-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2018-12-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-01-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-02-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-03-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-04-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-05-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-06-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-07-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-08-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-09-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-10-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-11-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2019-12-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-01-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-02-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-03-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-04-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-05-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-06-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-07-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-08-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-09-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-10-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-11-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2020-12-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(4,'2021-01-02',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-05-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-06-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-07-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-08-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-09-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-10-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-11-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2019-12-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-01-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-02-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-03-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-04-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-05-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-06-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-07-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-08-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-09-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-10-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-11-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(6,'2020-12-08',43); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2019-11-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2019-12-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-01-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-02-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-03-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-04-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-05-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-06-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-07-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-08-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-09-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-10-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-11-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(7,'2020-12-22',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2015-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-01-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-02-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-03-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2016-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-01-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-02-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-03-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2017-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-01-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-02-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-03-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2018-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-01-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-02-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-03-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2019-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-01-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-02-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-03-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-04-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-05-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-06-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-07-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-08-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-09-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-10-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-11-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(8,'2020-12-16',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2014-10-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2014-11-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2014-12-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-01-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-02-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-03-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-04-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-05-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-06-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-07-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-08-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-09-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-10-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-11-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2015-12-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-01-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-02-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-03-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-04-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-05-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-06-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-07-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-08-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-09-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-10-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-11-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2016-12-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-01-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-02-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-03-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-04-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-05-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-06-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-07-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-08-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-09-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-10-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-11-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2017-12-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-01-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-02-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-03-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-04-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-05-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-06-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-07-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-08-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-09-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-10-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-11-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2018-12-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-01-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-02-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-03-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-04-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-05-20',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(9,'2019-06-20',34); 
